Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	zymogen activation (GO:0031638)	1/45	0.1066391873529346	0.2315452725394738	0	0	9.232838589981448	20.665901611884028	HP
GO_Biological_Process_2021	regulation of cellular protein localization (GO:1903827)	1/46	0.1088776222085674	0.2352014555686382	0	0	9.02721088435374	20.01811780873028	CSNK1E
GO_Biological_Process_2021	regulation of wound healing (GO:0061041)	1/47	0.1111105603036554	0.2352014555686382	0	0	8.830523513753327	19.4026870705364	CRK
GO_Biological_Process_2021	polyol metabolic process (GO:0019751)	1/47	0.1111105603036554	0.2352014555686382	0	0	8.830523513753327	19.4026870705364	ISYNA1
GO_Biological_Process_2021	inflammatory response (GO:0006954)	2/230	0.1127586124121412	0.2352014555686382	0	0	3.6041666666666665	7.866115081211615	HP;CXCR4
GO_Biological_Process_2021	positive regulation of DNA repair (GO:0045739)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	NPAS2
GO_Biological_Process_2021	negative regulation of mitotic cell cycle (GO:0045930)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	ZFP36L1
GO_Biological_Process_2021	inositol phosphate metabolic process (GO:0043647)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	ISYNA1
GO_Biological_Process_2021	substrate adhesion-dependent cell spreading (GO:0034446)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	ITGA4
GO_Biological_Process_2021	nucleus organization (GO:0006997)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	LEMD3
GO_Biological_Process_2021	myelination (GO:0042552)	1/48	0.1133380148369131	0.2352014555686382	0	0	8.642205818497612	18.81737166641443	CXCR4
GO_Biological_Process_2021	response to hydrogen peroxide (GO:0042542)	1/49	0.1155599990222406	0.2377089453571529	0	0	8.46173469387755	18.26013079359792	HP
GO_Biological_Process_2021	regulation of cellular localization (GO:0060341)	1/49	0.1155599990222406	0.2377089453571529	0	0	8.46173469387755	18.26013079359792	CSNK1E
GO_Biological_Process_2021	positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	1/50	0.1177765260040411	0.2401616986778055	0	0	8.28862973760933	17.7290996615035	CRK
