Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	T cell differentiation in thymus (GO:0033077)	1/14	3.444771e-02	2.076224e-01	0	0	3.129827e+01	1.054224e+02	ZFP36L1
GO_Biological_Process_2021	N-terminal protein amino acid modification (GO:0031365)	1/14	3.444771e-02	2.076224e-01	0	0	3.129827e+01	1.054224e+02	NAA35
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	2/118	3.517696e-02	2.076224e-01	0	0	7.124282e+00	2.384756e+01	CSNK1E;CRK
GO_Biological_Process_2021	negative regulation of cellular component movement (GO:0051271)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	CRK
GO_Biological_Process_2021	cardiac myofibril assembly (GO:0055003)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	ACTC1
GO_Biological_Process_2021	regulation of establishment of protein localization (GO:0070201)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	SCFD1
GO_Biological_Process_2021	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	ZFP36L1
GO_Biological_Process_2021	regulation of non-canonical Wnt signaling pathway (GO:2000050)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	CSNK1E
GO_Biological_Process_2021	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	1/15	3.686328e-02	2.076224e-01	0	0	2.906122e+01	9.591772e+01	ZFP36L1
GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	2/123	3.793561e-02	2.076224e-01	0	0	6.828168e+00	2.234084e+01	TIPARP;CXCR4
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	3/300	3.904007e-02	2.076224e-01	0	0	4.223727e+00	1.369825e+01	FBN2;ITGA4;P4HA1
GO_Biological_Process_2021	3'-UTR-mediated mRNA destabilization (GO:0061158)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	ZFP36L1
GO_Biological_Process_2021	regulation of activin receptor signaling pathway (GO:0032925)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	LEMD3
GO_Biological_Process_2021	positive regulation of endothelial cell apoptotic process (GO:2000353)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	ITGA4
GO_Biological_Process_2021	cellular response to corticosteroid stimulus (GO:0071384)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	ZFP36L1
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	CXCR4
GO_Biological_Process_2021	regulation of monocyte differentiation (GO:0045655)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	ZFP36L1
GO_Biological_Process_2021	N-terminal protein amino acid acetylation (GO:0006474)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	NAA35
GO_Biological_Process_2021	polyol biosynthetic process (GO:0046173)	1/16	3.927292e-02	2.076224e-01	0	0	2.712245e+01	8.780134e+01	ISYNA1
GO_Biological_Process_2021	regulation of stem cell proliferation (GO:0072091)	1/17	4.167665e-02	2.076224e-01	0	0	2.542602e+01	8.079917e+01	ZFP36L1
GO_Biological_Process_2021	negative regulation of viral entry into host cell (GO:0046597)	1/17	4.167665e-02	2.076224e-01	0	0	2.542602e+01	8.079917e+01	IFITM2
GO_Biological_Process_2021	tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1/17	4.167665e-02	2.076224e-01	0	0	2.542602e+01	8.079917e+01	MMGT1
GO_Biological_Process_2021	muscle tissue morphogenesis (GO:0060415)	1/17	4.167665e-02	2.076224e-01	0	0	2.542602e+01	8.079917e+01	ACTC1
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	2/130	4.193232e-02	2.076224e-01	0	0	6.452474e+00	2.046530e+01	CSNK1E;HAUS2
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	2/131	4.251577e-02	2.076224e-01	0	0	6.402132e+00	2.021717e+01	CSNK1E;HAUS2
GO_Biological_Process_2021	regulation of B cell differentiation (GO:0045577)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	ZFP36L1
GO_Biological_Process_2021	regulation of vascular endothelial cell proliferation (GO:1905562)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	ITGA4
GO_Biological_Process_2021	positive regulation of glial cell differentiation (GO:0045687)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	CXCR4
GO_Biological_Process_2021	response to interferon-alpha (GO:0035455)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	IFITM2
GO_Biological_Process_2021	cellular response to glucocorticoid stimulus (GO:0071385)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	ZFP36L1
GO_Biological_Process_2021	leukocyte tethering or rolling (GO:0050901)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	ITGA4
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	MT1F
GO_Biological_Process_2021	microtubule depolymerization (GO:0007019)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	STMN4
GO_Biological_Process_2021	dendritic cell migration (GO:0036336)	1/18	4.407449e-02	2.076224e-01	0	0	2.392917e+01	7.470386e+01	CXCR4
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	1/19	4.646646e-02	2.076224e-01	0	0	2.259864e+01	6.935578e+01	MT1F
GO_Biological_Process_2021	leukocyte adhesion to vascular endothelial cell (GO:0061756)	1/19	4.646646e-02	2.076224e-01	0	0	2.259864e+01	6.935578e+01	ITGA4
GO_Biological_Process_2021	regulation of oligodendrocyte differentiation (GO:0048713)	1/19	4.646646e-02	2.076224e-01	0	0	2.259864e+01	6.935578e+01	CXCR4
GO_Biological_Process_2021	regulation of small GTPase mediated signal transduction (GO:0051056)	2/141	4.851600e-02	2.076224e-01	0	0	5.938549e+00	1.796923e+01	SYDE2;RHOU
GO_Biological_Process_2021	eye morphogenesis (GO:0048592)	1/20	4.885255e-02	2.076224e-01	0	0	2.140816e+01	6.463015e+01	FBN2
GO_Biological_Process_2021	cellular response to interferon-beta (GO:0035458)	1/20	4.885255e-02	2.076224e-01	0	0	2.140816e+01	6.463015e+01	IFITM2
GO_Biological_Process_2021	negative regulation of viral life cycle (GO:1903901)	1/20	4.885255e-02	2.076224e-01	0	0	2.140816e+01	6.463015e+01	IFITM2
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	1/20	4.885255e-02	2.076224e-01	0	0	2.140816e+01	6.463015e+01	ZFP36L1
GO_Biological_Process_2021	energy reserve metabolic process (GO:0006112)	1/20	4.885255e-02	2.076224e-01	0	0	2.140816e+01	6.463015e+01	PPP1R3C
GO_Biological_Process_2021	negative regulation of response to wounding (GO:1903035)	1/21	5.123279e-02	2.076224e-01	0	0	2.033673e+01	6.042807e+01	CRK
GO_Biological_Process_2021	nuclear envelope organization (GO:0006998)	1/21	5.123279e-02	2.076224e-01	0	0	2.033673e+01	6.042807e+01	LEMD3
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	2/149	5.352499e-02	2.076224e-01	0	0	5.613095e+00	1.643294e+01	CSNK1E;HAUS2
GO_Biological_Process_2021	regulation of adenylate cyclase activity (GO:0045761)	1/22	5.360720e-02	2.076224e-01	0	0	1.936735e+01	5.667025e+01	CRHR1
GO_Biological_Process_2021	regulation of voltage-gated calcium channel activity (GO:1901385)	1/22	5.360720e-02	2.076224e-01	0	0	1.936735e+01	5.667025e+01	CRHR1
GO_Biological_Process_2021	negative regulation of myeloid cell differentiation (GO:0045638)	1/22	5.360720e-02	2.076224e-01	0	0	1.936735e+01	5.667025e+01	ZFP36L1
