Source_Node,Target_Node,Weight,Direction_Confidence
POLR2E,TMEM129,0.0236573871225118,0.8285698859933648
LRP1,DDR1,0.0236048251390457,0.882677958074406
HBA2,HBB,0.0235892515629529,0.1596853230764296
KCNC2,NEFM,0.0235446654260158,0.3112085417779024
DUSP1,BTG2,0.023426454514265,0.1435761086324716
DENND6B,LMNB2,0.0234190858900547,0.972939033266176
DUSP1,FOS,0.0234173480421304,0.0674406148200107
AC096949.1,RP11-463D19.2,0.0233970656991004,0.7670762057939442
ADGRB1,CACNG7,0.0233722887933254,0.6257316671330563
C1QA,CSF1R,0.0233175605535507,0.5895226392295683
CD74,HLA-DRB1,0.0233025159686803,0.3534715410261527
NEFL,SV2C,0.0232956949621438,0.1459776825904931
CBS,CBSL,0.023284563794732,0.0164147732956081
FOSB,MIDN,0.0232796017080545,0.1410162078037622
DUSP1,RGS2,0.0232156403362751,0.3556028868692639
MAP3K10,POLD1,0.0232018530368804,0.9235058025396644
NRN1,NEFM,0.023187268525362,0.0033631033256761
GADD45B,ZFP36L1,0.0231848321855068,0.1551762980259026
EGR1,ZFP36,0.0231481455266475,0.071058250778839
STK11,PPP6R1,0.0231276880949735,0.4688655436127078
BTG2,HES1,0.0230803806334733,0.4242209751867163
SV2C,SLC17A6,0.02307790517807,0.282520236409233
EGR1,RHOB,0.0230192504823207,0.1945241899278566
ZFP36L1,BTG2,0.0229937341064214,0.541434353327625
SLC16A3,NXPH4,0.0229307636618614,0.769050909925198
ATF3,CYR61,0.0229035187512636,0.3536387778792326
PLXNB2,DGKZ,0.0228961557149887,0.9957551099960557
GRIN1,STX1B,0.0228763129562139,0.5286800196260102
SUCLA2,AFTPH,0.0228612255305051,0.8192077777435156
PDZD4,NPDC1,0.0228120163083076,0.759079699298877
AC096949.1,COMMD3-BMI1,0.0227940417826175,0.4170362384032327
JUND,DUSP1,0.022788206115365,0.3271304235387444
CTSD,REXO1,0.0227662120014429,0.8779443231116951
HSPA1A,HSPA6,0.0227499455213546,0.3581072005088123
MYRIP,SMIM3,0.0226795841008424,0.69792238583196
TUBB,TUBA4A,0.0226380247622728,0.7664533226682071
SAG,RDH12,0.0226171016693115,0.2954196285135906
CFI,CP,0.0225897617638111,0.2023373819360973
ATF3,ZFP36,0.0225465167313814,0.292451199612955
PFKFB4,LOXL3,0.0224092360585927,0.7748255050956646
DUSP1,JUN,0.0223978664726018,0.2230781338501166
ICAM1,DDB2,0.0223761070519685,0.6378514976929945
SYT2,SLC17A6,0.0223739370703697,0.2229166220662768
SYT2,SV2C,0.0223523639142513,0.0415984167440647
NEFL,KCNC2,0.0223512183874845,0.2500829761935779
RASGRP1,NR2E1,0.0223306585103273,0.1448154113845107
DDX3X,USP9X,0.0223147645592689,0.3213966438388906
ADM,SERPINE1,0.0222927685827016,0.5826210439850671
GMFB,UBE2D1,0.0222736187279224,0.758586819515479
UPF1,CLPTM1,0.0222542993724346,0.8649520067329716
SYT2,SCN4B,0.022253081202507,0.0024199983386194
SCN4B,NEFL,0.0222115032374858,0.0221864426831588
KLF10,FOSB,0.0222113467752933,0.1833200327579843
SLC11A1,LAPTM5,0.0222081802785396,0.2887131862720658
INTS1,CKB,0.0221054051071405,0.9888645403937932
GMFB,FAM135A,0.0220903977751731,0.6144033566080358
SF3B5,RPL36,0.0220324229449033,0.7875326386929465
CSRNP1,TRH,0.0220162756741046,0.3610801081323077
IER2,EGR1,0.0219735484570264,0.1071362910412345
ZFX,USP9X,0.0219664834439754,0.3333886595619379
PKN1,RAB1B,0.021953709423542,0.4432865860029419
KIAA1107,HSPE1-MOB4,0.0219518467783927,0.6710818669324861
RPS15,ACAA1,0.0218889564275741,0.9944221161135536
NR2E1,NFIL3,0.0218659210950136,0.7025253300529023
TNC,SERPINA5,0.0218653753399848,0.1697462116852447
STC1,IL1RL1,0.0218541417270898,0.418126550722955
CLDN9,ZNF692,0.0217769797891378,0.368849771168721
PKD2L1,TNR,0.0217738561332225,0.3626890895290889
COPS2,ACTR2,0.021728241816163,0.7808265300104956
TAB1,PCBP3,0.0217012912034988,0.5131133037173676
GADD45B,JUN,0.0216861274093389,0.4717633831945083
SLC17A6,KCNC2,0.0216832850128412,0.1715994009371876
UTY,USP9X,0.0215760394930839,0.386332252011778
AC090094.1,HNRNPUL2-BSCL2,0.0215740110725164,0.7008759817379475
PPEF2,UBAP1L,0.0215674098581075,0.2428612305232072
HAGH,SPTBN5,0.0215569511055946,0.8632540710136735
CH507-9B2.5,PWP2,0.0215382669121027,0.0201571859521711
RAB10,SUCO,0.0215364694595336,0.2161872134290347
NPR3,KCNC2,0.0215314589440822,0.0698144323601592
RC3H2,QSER1,0.0215178821235895,0.687047508385021
EGLN3,PDK1,0.0215162169188261,0.5703354299943882
TNR,B3GAT2,0.021503334864974,0.0552415900919548
IL1R1,RHOU,0.0214774552732706,0.4192680306891816
AHNAK2,NEFM,0.0214677322655916,0.0815176472416857
SRGN,GPR183,0.0214490443468093,0.565245430588301
BTBD2,SCAF1,0.0214378479868173,0.9484745081514804
ZFY,TXLNG,0.0214300770312547,0.1169988718025419
ZFP36,IER2,0.0214279945939779,0.2811194094194789
GADD45B,MIDN,0.021425113081932,0.4067491001931458
PPFIA3,NPHP4,0.0213848184794187,0.9962979018767724
FOSL2,PIM1,0.0213826652616262,0.3080789183093038
TXLNG,UTY,0.0213617626577615,0.0845272919589255
LMF2,ENHO,0.021321702748537,0.9964589499639472
